Name,Team,GS,IP,ERA,K%,BB%,H9,raw_fip,ERA_est
Logan Allen,Cleveland Guardians,0,4.0,0.0,0.3684,0.0526,8.96,1.5,4.07
Tanner Andrews,Toronto Blue Jays,0,3.0,0.0,0.0909,0.1818,8.51,4.4,4.26
Mason Barnett,Athletics,0,2.0,0.0,0.1111,0.2222,8.66,5.07,4.28
Tristan Beck,San Francisco Giants,0,3.0,0.0,0.0909,0.0,8.66,2.4,4.16
Ty Blach,Chicago Cubs,0,3.0,0.0,0.2222,0.0,8.51,1.73,4.12
Gerrit Cole,New York Yankees,2,12.7,0.0,0.2667,0.0667,7.84,1.88,3.75
Carlos Cortes,Athletics,0,1.0,0.0,0.0,0.2,8.8,6.07,4.28
Yovanny Cruz,New York Yankees,0,2.3,0.0,0.3333,0.0,8.61,1.78,4.15
Nick Davila,Seattle Mariners,0,7.3,0.0,0.1379,0.2069,8.17,4.43,4.27
Duncan Davitt,Chicago White Sox,0,1.0,0.0,0.0,0.3333,8.65,6.07,4.28
Daniel Duarte,New York Mets,0,2.3,0.0,0.1429,0.0,8.61,2.21,4.17
Jose Espada,Baltimore Orioles,0,1.0,0.0,0.0,0.0,8.95,3.07,4.23
Lazaro Estrada,Toronto Blue Jays,0,4.0,0.0,0.2143,0.1429,8.21,3.07,4.17
Caleb Ferguson,Cincinnati Reds,0,3.0,0.0,0.3636,0.0,8.51,1.5,4.11
Alec Gamboa,Boston Red Sox,0,1.0,0.0,0.6667,0.0,8.65,1.5,4.2
Joey Gerber,New York Mets,0,2.0,0.0,0.5556,0.1111,8.81,1.5,4.16
Domingo Gonzalez,Seattle Mariners,0,5.7,0.0,0.2083,0.125,8.72,2.89,4.12
Ryan Gusto,Miami Marlins,0,1.0,0.0,0.3333,0.0,8.65,1.5,4.2
Sam Haggerty,Texas Rangers,0,1.0,0.0,0.0,0.0,8.65,6.07,4.28
Austin Hedges,Cleveland Guardians,0,0.3,0.0,0.0,0.0,8.75,3.07,4.24
Sam Hentges,San Francisco Giants,0,6.3,0.0,0.2963,0.2222,8.17,3.38,4.16
Jonathan Hernández,Los Angeles Dodgers,0,4.0,0.0,0.3077,0.0769,8.21,1.82,4.09
Welinton Herrera,Colorado Rockies,0,2.3,0.0,0.2,0.1,8.76,2.64,4.19
P.J. Higgins,Cincinnati Reds,0,1.0,0.0,0.3333,0.0,8.65,1.5,4.2
William Kempner,Miami Marlins,0,2.0,0.0,0.1667,0.0,8.51,2.07,4.18
Jared Koenig,Milwaukee Brewers,0,2.3,0.0,0.3077,0.1538,8.91,2.21,4.17
Brooks Kriske,Athletics,0,2.7,0.0,0.1818,0.0909,8.71,2.69,4.18
Adam Macko,Toronto Blue Jays,1,6.0,0.0,0.2,0.0,8.97,1.9,4.02
Jorge Mateo,Atlanta Braves,0,1.0,0.0,0.0,0.0,8.8,3.07,4.23
Chayce McDermott,Los Angeles Dodgers,0,1.0,0.0,0.25,0.0,8.8,1.5,4.2
Easton McGee,Milwaukee Brewers,0,2.0,0.0,0.1667,0.1667,8.66,3.57,4.23
Reese McGuire,Chicago White Sox,0,1.0,0.0,0.0,0.0,8.65,3.07,4.23
Victor Mederos,Atlanta Braves,0,2.0,0.0,0.0,0.1667,8.51,4.57,4.26
A.J. Minter,New York Mets,0,2.0,0.0,0.5714,0.0,8.66,1.5,4.16
Anthony Molina,Atlanta Braves,0,2.0,0.0,0.0,0.1667,8.51,4.57,4.26
Nate Pearson,Houston Astros,0,2.7,0.0,0.1818,0.1818,8.56,3.82,4.23
Jonathan Pintaro,New York Mets,0,3.7,0.0,0.25,0.0833,8.26,2.25,4.13
Eduardo Rivera,Boston Red Sox,0,3.3,0.0,0.3,0.0,8.46,1.5,4.1
Jake Rogers,Detroit Tigers,0,1.3,0.0,0.1667,0.0,8.9,1.57,4.19
Yacksel Ríos,Chicago Cubs,0,1.7,0.0,0.4,0.0,8.56,1.5,4.17
Javier Sanoja,Miami Marlins,0,1.0,0.0,0.25,0.0,8.8,1.5,4.2
Alimber Santa,Houston Astros,0,3.0,0.0,0.2222,0.0,8.36,1.73,4.12
Dylan Smith,San Francisco Giants,0,0.7,0.0,0.0,0.3333,8.7,7.57,4.29
Drew Sommers,Detroit Tigers,0,0.3,0.0,1.0,0.0,8.75,1.5,4.23
Brock Stewart,Los Angeles Dodgers,0,2.0,0.0,0.4286,0.1429,8.51,1.57,4.16
Hunter Stratton,Atlanta Braves,0,1.0,0.0,0.3333,0.0,8.8,1.5,4.2
Garrett Stubbs,Philadelphia Phillies,0,1.0,0.0,0.0,0.0,8.65,3.07,4.23
Brett Sullivan,Colorado Rockies,0,3.0,0.0,0.0,0.1,8.51,4.07,4.24
Jonah Tong,New York Mets,0,6.7,0.0,0.1071,0.1786,8.27,4.42,4.27
Logan VanWey,Houston Astros,0,3.0,0.0,0.5,0.0,8.51,1.5,4.11
Vince Velasquez,Chicago Cubs,0,2.3,0.0,0.125,0.0,8.61,2.21,4.17
Cameron Weston,Baltimore Orioles,0,1.0,0.0,0.3333,0.3333,8.65,4.07,4.25
Louis Varland,Toronto Blue Jays,0,31.0,0.29,0.35,0.075,7.7,1.5,2.83
Aroldis Chapman,Boston Red Sox,0,17.7,0.51,0.3382,0.1029,7.41,1.82,3.54
Ethan Roberts,Chicago Cubs,0,15.0,0.6,0.1818,0.1273,7.5,3.53,4.07
Matt Brash,Seattle Mariners,0,14.0,0.64,0.2264,0.0755,7.95,2.42,3.82
Yuki Matsui,San Diego Padres,0,14.0,0.64,0.2593,0.1296,7.65,2.78,3.91
Mason Miller,San Diego Padres,0,25.0,0.72,0.5104,0.1146,6.63,1.5,3.1
Robert Suarez,Atlanta Braves,0,25.0,0.72,0.2316,0.0526,7.53,2.43,3.49
Rico Garcia,Baltimore Orioles,0,24.3,0.74,0.3218,0.1034,6.28,2.41,3.5
Shohei Ohtani,Los Angeles Dodgers,9,55.0,0.82,0.2864,0.0798,4.93,2.47,2.62
Hunter Brown,Houston Astros,2,10.7,0.84,0.3953,0.1395,7.99,1.57,3.77
Brandyn Garcia,Arizona Diamondbacks,0,10.0,0.9,0.2973,0.0541,8.23,2.07,3.89
Dylan Dodd,Atlanta Braves,0,9.7,0.93,0.3056,0.0278,8.28,1.5,3.81
Jason Adam,San Diego Padres,0,19.0,0.95,0.1316,0.0658,8.11,3.65,4.06
Kyle Hurt,Los Angeles Dodgers,0,17.0,1.06,0.3125,0.0625,7.81,2.36,3.71
Raisel Iglesias,Atlanta Braves,0,16.7,1.08,0.3175,0.0476,8.16,1.5,3.49
Tanner Scott,Los Angeles Dodgers,0,23.7,1.14,0.3333,0.0357,6.98,2.18,3.43
Brooks Raley,New York Mets,0,21.7,1.25,0.2717,0.1087,8.02,3.02,3.81
Kendry Rojas,Minnesota Twins,1,14.3,1.26,0.2295,0.1639,8.35,3.42,4.05
Dylan Lee,Atlanta Braves,0,27.7,1.3,0.34,0.03,6.84,1.5,2.98
Colin Holderman,Cleveland Guardians,0,20.7,1.31,0.2987,0.0649,7.27,2.2,3.54
Wilber Dotel,Pittsburgh Pirates,0,13.7,1.32,0.2745,0.0588,7.85,2.63,3.88
Bryan Hudson,Chicago White Sox,3,27.3,1.32,0.2389,0.0885,8.09,2.52,3.46
Spencer Arrighetti,Houston Astros,8,47.0,1.34,0.2172,0.1313,5.96,3.96,4.02
Antonio Senzatela,Colorado Rockies,0,33.0,1.36,0.2097,0.0726,6.81,3.19,3.67
Austin Warren,New York Mets,0,19.3,1.4,0.2785,0.1139,8.06,2.86,3.8
Troy Melton,Detroit Tigers,2,12.7,1.42,0.08,0.08,8.14,3.38,4.07
Evan Sisk,Pittsburgh Pirates,0,25.0,1.44,0.303,0.0909,7.68,2.63,3.57
Cristopher Sánchez,Philadelphia Phillies,12,79.3,1.47,0.2941,0.0495,8.28,1.81,1.81
Carl Edwards Jr.,New York Mets,0,6.0,1.5,0.44,0.16,8.37,3.57,4.18
Codi Heuer,Cleveland Guardians,0,6.0,1.5,0.1538,0.0769,8.67,3.23,4.15
David Sandlin,Chicago White Sox,1,6.0,1.5,0.2105,0.0,8.07,3.9,4.22
Cam Schlittler,New York Yankees,12,72.0,1.5,0.2945,0.0473,6.0,1.9,1.9
Gordon Graceffo,St. Louis Cardinals,0,29.7,1.52,0.1171,0.0991,6.7,4.38,4.32
Chase Shugart,Philadelphia Phillies,0,17.7,1.53,0.2647,0.0588,8.01,3.69,4.09
Kyle Harrison,Milwaukee Brewers,10,51.7,1.57,0.2961,0.068,7.07,2.45,2.7
Brian Fitzpatrick,Milwaukee Brewers,0,5.7,1.59,0.1481,0.1111,9.02,3.24,4.15
Brenan Hanifee,Detroit Tigers,2,11.3,1.59,0.1304,0.0435,8.94,3.68,4.14
Jhoan Duran,Philadelphia Phillies,0,16.7,1.62,0.4,0.0769,8.16,1.63,3.52
Nick Martinez,Tampa Bay Rays,11,66.7,1.62,0.1524,0.0446,8.37,3.25,3.25
Tyler Phillips,Miami Marlins,2,38.7,1.63,0.2,0.1152,7.63,3.25,3.6
Yerry De los Santos,New York Yankees,0,5.3,1.69,0.2857,0.1429,8.62,4.94,4.31
Josh Ekness,Miami Marlins,0,5.3,1.69,0.2273,0.2273,8.32,4.0,4.23
Erik Sabrowski,Cleveland Guardians,0,21.0,1.71,0.4699,0.1566,6.77,1.83,3.4
José A. Ferrer,Seattle Mariners,0,25.7,1.75,0.1982,0.027,9.39,2.56,3.53
Paul Gervase,Los Angeles Dodgers,0,5.0,1.8,0.2381,0.0952,8.82,2.27,4.08
Jakob Junis,Texas Rangers,1,24.7,1.82,0.1579,0.0526,7.43,2.7,3.61
Jacob Misiorowski,Milwaukee Brewers,11,64.0,1.83,0.4032,0.0766,4.78,1.88,1.88
Huascar Brazobán,New York Mets,4,29.0,1.86,0.2087,0.1043,6.95,3.21,3.74
Ryan Fernandez,St. Louis Cardinals,0,9.7,1.86,0.3953,0.1163,8.58,2.45,3.96
Chase Silseth,Los Angeles Angels,0,19.3,1.86,0.2235,0.1529,8.21,3.95,4.15
Fernando Cruz,New York Yankees,0,23.7,1.9,0.303,0.1414,7.73,3.66,4.02
Ben Brown,Chicago Cubs,5,51.3,1.93,0.26,0.075,6.22,2.23,2.52
Tim Herrin,Cleveland Guardians,0,18.7,1.93,0.1744,0.1395,8.46,4.41,4.3
John King,Miami Marlins,0,23.3,1.93,0.2069,0.092,6.58,4.05,4.17
Will Klein,Los Angeles Dodgers,1,23.3,1.93,0.2688,0.0645,8.08,1.82,3.31
Daniel Lynch IV,Kansas City Royals,0,23.3,1.93,0.2812,0.0833,7.63,2.6,3.61
Bradgley Rodriguez,San Diego Padres,2,27.7,1.95,0.2301,0.0708,7.89,2.06,3.24
Gregory Soto,Pittsburgh Pirates,0,27.7,1.95,0.3048,0.1048,6.24,2.63,3.5
Taylor Clarke,Arizona Diamondbacks,0,23.0,1.96,0.1163,0.0349,7.38,3.41,3.93
Matt Gage,San Francisco Giants,0,23.0,1.96,0.1915,0.117,7.68,4.63,4.4
Chase Burns,Cincinnati Reds,11,64.3,1.96,0.2892,0.0803,5.88,3.38,3.38
Orlando Ribalta,Washington Nationals,0,13.7,1.98,0.1852,0.0741,8.15,2.48,3.85
Davis Martin,Chicago White Sox,11,67.7,2.0,0.27,0.0532,7.05,2.3,2.3
Aaron Ashby,Milwaukee Brewers,1,36.0,2.0,0.3377,0.1192,7.72,2.18,3.01
Brent Headrick,New York Yankees,0,27.0,2.0,0.2479,0.0855,8.89,2.99,3.68
Chris Sale,Atlanta Braves,11,67.0,2.01,0.3019,0.0642,6.18,2.87,2.87
Kyle Finnegan,Detroit Tigers,0,26.7,2.03,0.1327,0.1681,8.34,5.05,4.61
Joe Mantiply,Toronto Blue Jays,0,17.7,2.04,0.2254,0.0563,8.61,2.84,3.84
Jack Dreyer,Los Angeles Dodgers,0,21.7,2.08,0.2857,0.0714,7.87,2.42,3.59
Grant Taylor,Chicago White Sox,4,29.7,2.12,0.3607,0.0738,8.05,1.5,2.89
Eduard Bazardo,Seattle Mariners,0,25.3,2.13,0.211,0.0917,8.83,3.58,3.97
Jacob Latz,Texas Rangers,1,25.0,2.16,0.2527,0.0549,6.63,2.87,3.67
Riley Martin,Chicago Cubs,1,8.3,2.16,0.3226,0.0645,8.33,2.95,4.07
Spencer Miles,Toronto Blue Jays,1,33.3,2.16,0.2406,0.0677,7.66,2.74,3.41
Trey Yesavage,Toronto Blue Jays,7,37.0,2.19,0.2617,0.1141,7.27,2.42,3.12
Parker Messick,Cleveland Guardians,12,69.3,2.21,0.2721,0.0772,6.88,3.01,3.01
Orion Kerkering,Philadelphia Phillies,0,20.3,2.21,0.2471,0.0941,7.92,3.61,4.03
Sam Bachman,Los Angeles Angels,0,28.3,2.22,0.2544,0.1228,7.19,3.53,3.91
Jake Eder,Los Angeles Dodgers,0,4.0,2.25,0.0667,0.0667,8.66,3.32,4.19
Julian Fernández,Washington Nationals,0,4.0,2.25,0.1667,0.1111,8.66,6.32,4.39
Bryce Miller,Seattle Mariners,2,16.0,2.25,0.2258,0.0323,8.55,3.32,4.0
Casey Mize,Detroit Tigers,9,47.7,2.27,0.2649,0.0649,6.91,2.37,2.76
Zack Wheeler,Philadelphia Phillies,7,43.7,2.27,0.2439,0.0549,6.6,3.41,3.64
Eduardo Rodriguez,Arizona Diamondbacks,11,66.3,2.31,0.1801,0.0919,7.46,3.7,3.7
Bryan Baker,Tampa Bay Rays,0,23.3,2.31,0.2947,0.1158,7.48,2.64,3.62
Trent Thornton,Chicago Cubs,0,11.7,2.31,0.1136,0.0682,8.29,5.21,4.44
Jared Shuster,St. Louis Cardinals,0,7.7,2.35,0.0625,0.0938,8.58,3.72,4.18
DL Hall,Milwaukee Brewers,1,26.7,2.36,0.2685,0.1944,6.69,3.85,4.07
Tyler Rogers,Toronto Blue Jays,0,26.7,2.36,0.1468,0.0826,8.04,2.88,3.64
Zebby Matthews,Minnesota Twins,3,19.0,2.37,0.2329,0.0274,8.11,3.8,4.11
Alex Vesia,Los Angeles Dodgers,0,19.0,2.37,0.3467,0.12,7.36,1.75,3.46
Ty Madden,Detroit Tigers,0,11.3,2.38,0.2791,0.0465,8.19,2.63,3.94
Clay Holmes,New York Mets,9,52.7,2.39,0.2093,0.0837,7.08,3.18,3.31
Walbert Ureña,Los Angeles Angels,8,44.3,2.44,0.2113,0.1289,7.7,3.92,4.01
Clayton Beeter,Washington Nationals,0,14.7,2.45,0.2222,0.1905,7.55,5.59,4.58
Carlos Carrasco,Atlanta Braves,0,7.3,2.45,0.1379,0.0,8.62,4.16,4.24
Zach Eflin,Baltimore Orioles,1,3.7,2.45,0.4118,0.1176,8.86,4.43,4.26
Cade Horton,Chicago Cubs,2,7.3,2.45,0.1538,0.0769,8.32,4.57,4.29
Keegan Thompson,Colorado Rockies,0,3.7,2.45,0.1765,0.1176,8.86,3.07,4.18
Keaton Winn,San Francisco Giants,0,25.7,2.45,0.2268,0.0825,7.29,2.79,3.63
Braydon Fisher,Toronto Blue Jays,3,32.7,2.48,0.2683,0.0976,6.86,3.13,3.64
Hoby Milner,Chicago Cubs,0,25.3,2.49,0.1176,0.0588,8.08,4.09,4.18
Didier Fuentes,Atlanta Braves,1,21.7,2.49,0.2809,0.0899,7.87,2.74,3.71
Bryce Elder,Atlanta Braves,12,72.0,2.5,0.2082,0.0751,7.0,3.28,3.28
José Fermin,Los Angeles Angels,0,14.3,2.51,0.254,0.1746,7.9,4.46,4.3
Shane McClanahan,Tampa Bay Rays,10,50.0,2.52,0.2463,0.0936,6.42,2.79,3.03
Ryan Helsley,Baltimore Orioles,0,10.7,2.53,0.3261,0.1522,8.29,2.22,3.89
Tim Hill,New York Yankees,0,21.3,2.53,0.1264,0.0575,8.37,3.49,3.98
Jonathan Loáisiga,Arizona Diamondbacks,0,21.3,2.53,0.1566,0.0361,8.37,3.02,3.81
Daniel Palencia,Chicago Cubs,0,10.7,2.53,0.2609,0.087,8.89,4.38,4.27
Cal Quantrill,Texas Rangers,0,21.3,2.53,0.1609,0.092,8.37,3.63,4.03
Sam Moll,Cincinnati Reds,0,24.7,2.55,0.2475,0.1089,7.43,3.8,4.06
Kai-Wei Teng,Houston Astros,5,42.0,2.57,0.2575,0.1138,6.69,4.07,4.12
Chad Patrick,Milwaukee Brewers,6,45.0,2.6,0.1813,0.0989,7.75,3.38,3.6
Cade Smith,Cleveland Guardians,0,27.7,2.6,0.3784,0.045,8.49,1.5,2.98
Jaden Hill,Colorado Rockies,0,20.7,2.61,0.2527,0.0989,8.62,2.78,3.74
Albert Suárez,Baltimore Orioles,0,20.7,2.61,0.1163,0.1163,8.02,5.44,4.66
Payton Tolle,Boston Red Sox,7,41.3,2.61,0.2857,0.0683,6.64,2.66,3.15
Sean Newcomb,Chicago White Sox,0,34.3,2.62,0.2263,0.0657,7.96,2.78,3.41
Shane Drohan,Milwaukee Brewers,1,27.3,2.63,0.2478,0.0708,8.09,2.37,3.39
Gabe Speier,Seattle Mariners,0,13.7,2.63,0.2295,0.082,8.9,3.51,4.08
José Soriano,Los Angeles Angels,12,71.3,2.65,0.2699,0.1073,6.43,3.32,3.32
Jacob Webb,Chicago Cubs,0,23.7,2.66,0.2941,0.0784,8.93,3.19,3.83
Brad Lord,Washington Nationals,0,37.0,2.68,0.2039,0.0461,7.87,3.69,3.9
Michael Wacha,Kansas City Royals,11,70.3,2.69,0.2174,0.0797,6.4,3.91,3.91
Garrett Acton,Minnesota Twins,0,6.7,2.7,0.3214,0.1071,8.42,2.17,4.02
Grant Anderson,Milwaukee Brewers,0,23.3,2.7,0.2093,0.093,7.78,4.22,4.24
Mason Black,Kansas City Royals,0,6.7,2.7,0.2333,0.1,9.02,4.27,4.25
Hogan Harris,Athletics,0,26.7,2.7,0.2339,0.1694,8.04,4.45,4.34
Nolan Hoffman,Philadelphia Phillies,0,3.3,2.7,0.1333,0.0667,9.06,2.77,4.17
Richard Lovelady,Washington Nationals,3,23.3,2.7,0.1944,0.1481,8.98,4.57,4.37
Joel Peguero,San Francisco Giants,0,10.0,2.7,0.1,0.075,8.53,3.77,4.17
JoJo Romero,St. Louis Cardinals,0,26.7,2.7,0.2294,0.0917,8.04,3.89,4.09
Tarik Skubal,Detroit Tigers,7,43.3,2.7,0.2711,0.0361,7.69,2.07,2.68
Tyler Glasnow,Los Angeles Dodgers,7,39.7,2.72,0.3311,0.0878,5.98,3.22,3.57
Wandy Peralta,San Diego Padres,0,26.3,2.73,0.1681,0.115,8.69,4.81,4.5
Logan Henderson,Milwaukee Brewers,5,23.0,2.74,0.3333,0.0667,8.13,2.37,3.53
Yennier Cano,Baltimore Orioles,0,19.7,2.75,0.2133,0.0533,7.87,2.86,3.8
Braxton Ashcraft,Pittsburgh Pirates,11,68.7,2.75,0.2545,0.0618,7.21,3.13,3.13
Emerson Hancock,Seattle Mariners,11,64.7,2.78,0.251,0.0598,6.96,3.56,3.56
Martín Pérez,Atlanta Braves,8,51.7,2.79,0.2049,0.0878,6.77,4.11,4.13
