Name,Team,GS,IP,ERA,K%,BB%,raw_fip,ERA_est
Hunter Barco,Pittsburgh Pirates,0,3.0,0.0,0.25,0.0,1.5,4.11
Nick Burdi,Boston Red Sox,0,5.3,0.0,0.2381,0.0952,2.38,4.08
Ezequiel Duran,Texas Rangers,0,3.3,0.0,0.0,0.0,3.13,4.19
Jose Espada,Baltimore Orioles,0,3.0,0.0,0.4444,0.0,1.5,4.11
Hunter Harvey,Kansas City Royals,0,10.7,0.0,0.2821,0.0256,1.5,3.76
Christian Koss,San Francisco Giants,0,4.0,0.0,0.0,0.0,3.13,4.18
Evan Phillips,Los Angeles Dodgers,0,5.7,0.0,0.2727,0.0909,2.07,4.04
Christian Roa,Miami Marlins,0,3.0,0.0,0.25,0.25,4.13,4.24
Zach Thompson,Atlanta Braves,0,3.7,0.0,0.25,0.0833,2.31,4.13
Luis Vázquez,Baltimore Orioles,0,4.3,0.0,0.0,0.0714,3.82,4.22
Weston Wilson,Philadelphia Phillies,0,3.0,0.0,0.0,0.0,3.13,4.19
Justin Lawrence,Pittsburgh Pirates,0,17.7,0.51,0.3333,0.1159,2.22,3.65
Ron Marinaccio,San Diego Padres,0,10.7,0.84,0.2857,0.0952,2.0,3.85
Austin Warren,New York Mets,0,9.3,0.96,0.2647,0.1176,3.88,4.19
Aroldis Chapman,Boston Red Sox,0,61.3,1.17,0.3728,0.0658,1.73,1.73
Cody Laweryson,Minnesota Twins,0,7.7,1.17,0.2692,0.0,1.5,3.9
Bradgley Rodriguez,San Diego Padres,0,7.7,1.17,0.2903,0.0968,3.13,4.11
Andrew Saalfrank,Arizona Diamondbacks,0,29.0,1.24,0.1681,0.0885,3.3,3.79
Luinder Avila,Kansas City Royals,0,14.0,1.29,0.2857,0.1071,2.13,3.75
Cristian Mena,Arizona Diamondbacks,0,6.7,1.35,0.3077,0.1154,4.03,4.23
Dylan Smith,Detroit Tigers,0,13.0,1.38,0.0833,0.1042,4.36,4.27
Erik Miller,San Francisco Giants,0,30.0,1.5,0.1719,0.1562,3.96,4.11
Cole Winn,Texas Rangers,0,41.7,1.51,0.216,0.1049,3.9,4.0
Jayden Murray,Houston Astros,1,11.7,1.54,0.1702,0.0638,2.53,3.92
Bailey Horn,Detroit Tigers,0,11.3,1.59,0.2,0.14,4.36,4.27
Edwin Díaz,New York Mets,0,66.3,1.63,0.3798,0.0814,2.27,2.27
A.J. Minter,New York Mets,0,11.0,1.64,0.3182,0.1136,1.95,3.83
Chase Silseth,Los Angeles Angels,0,11.0,1.64,0.2653,0.1224,3.86,4.18
Abner Uribe,Milwaukee Brewers,0,75.3,1.67,0.302,0.0906,2.74,2.74
AJ Blubaugh,Houston Astros,3,32.0,1.69,0.2823,0.0887,4.41,4.33
Randy Dobnak,Minnesota Twins,0,5.3,1.69,0.0526,0.1053,6.32,4.43
